1. Dejan Mijač, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
312. Jovanka Matic, naučni saradnik, Institut društvenih nauka, Beograd
313. Ljiljana B. Lazarević, viši naučni saradnik, Filozofski fakultet, Univerzitet u Beogradu
314. Pero Šipka, redovni profesor u penziji, Filozofski fakultet, Univerzitet u Novom Sadu
315. Sanja Grgurić-Šipka, redovni profesor, Hemijski fakultet, Univerzitet u Beogradu
316. Slavko Simić, naučni savetnik u penziji, Matematički institut SANU
317. Jovan Slavnić, redovni profesor u penziji, Ekonomski fakultet, Univerzitet u Novom Sadu
318. Lidija Marinkov Pavlović, vanredna profesorka, Akademija umetnosti, Univerzitet u Novom Sadu
319. Slađana Ristić Gorgiev, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
320. Polina Blagojević, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
321. Slobodan Ilić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Nišu
322. Bosiljka Zirojević Lečić, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
323. Marko Dimitrijević, docent, Elektronski fakultet, Univerzitet u Nišu
324. Goran Lj. Đorđević, redovni profesor, Elektronski fakultet, Univerzitet u Nišu
325. Ivan Novaković, vanredni profesor, Fakultet umetnosti, Univerzitet u Nišu
326. Nemanja Radulović, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
327. Milutin Petrović, redovni profesor, Fakultet FEFA, Univerzitet Metropolitan
328. Bojana Maljević, docent, Fakultet FEFA, Univerzitet Metropolitan
329. Maša Nešković, asistentkinja, Fakultet FEFA, Univerzitet Metropolitan
330. Petar Jovanović, docent, Fakultet FEFA, Univerzitet Metropolitan
331. Dragan Matić, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
332. Vladimir Miljković, docent, Fizički fakultet, Univerzitet u Beogradu
333. Žarko Trebješanin, redovni profesor u penziji, Filozofski fakultet, Univerzitet u Beogradu
334. Aleksandra Jovićević, gost profesor, , Univerzitet umetnosti u Beogradu
335. Tatjana Srdić-Rajić, naučni savetnik, Institut za onkologiju i radiologiju Srbije
336. Duška Franeta, vanredna profesorka, Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
337. Milan Višnjić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Nišu
338. Dejan Ilić, docent, Saobraćajni fakultet, Univerzitet u Beogradu
339. Igor Aleksić, vanredni profesor, Fakultet umetnosti, Univerzitet u Nišu
340. Jovana Đurić, docent, fakultet FEFA, Univerzitet Metropolitan
341. Nevena Buđevac, docent, Učiteljski fakultet, Univerzitet u Beogradu
342. Marko Lađušić, redovni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
343. Iva Milinkovic, asistent, Stomatološki fakultet, Univerzitet u Beogradu
344. Tomislav Gajić, docent, Fakultet zdravstvenih, pravnih i poslovnih studija, Univerzitet Singidunum
345. Biljana Božić Nedeljković, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
346. Irena Fiket, naučna saradnica, Institut za filozofiju i društvenu teoriju, Univerzitet u Beogradu
347. Andrej Josifovski, asistent, Arhitektonski fakultet, Univerzitet u Beogradu
348. Kaja Damnjanović, naučni saradnik, Filozofski fakultet, Univerzitet u Beogradu
349. Jelena Petković, docent, Filozofski fakultet, Univerzitet u Nišu
350. Boris Pendelj, vanredni profesor, Filozofski fakultet, Univerzitet u Beogradu
351. Gordana Matić, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
352. Srđan Prodanović, naučni saradnik, Institut za filozofiju i društvenu teoriju, Univerzitet u Beogradu
353. Ljubiša Jovanović, redovni profesor, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
354. Snežana Ivanović, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
355. Srđan Pejanovic, vanredni profesor u penziji, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
356. Milijana Grkajac, nastavnik jezika, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
357. Miodrag Bata Knežević, redovni profesor u penziji, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
358. Vesna Poleksić, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
359. Dragana Berić, redovni profesor, Fakultet sporta i fizičkog vaspitanja, Univerzitet u Nišu
360. Višnja Petrović, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
361. Predrag Simonović, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
0.   Predrag Simonović, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
362. Šćepan Miljanić, redovni profesor u penziji, Fakultet za fizičku hemiju, Univerzitet u Beogradu
363. Mirko Filipović, vanredni profesor, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
364. Branislav Žegarac, redovni profesor, Arhitektonski fakultet, Univerzitet u Beogradu
365. Bojana Drljan, asistent, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
366. Slobodan Marković, redovni profesor, Filozofski fakultet, Univerzitet u Beogradu
367. Milan Milošević, docent, Prirodno-matematički fakultet, Univerzitet u Nišu
368. Nataša Joković, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
369. Mirjana Tasić, naučni savetnik u penziji, Institut za fiziku, Univerzitet u Beogradu
370. Zenica Raspor, viši lektor u penziji, Filološki fakultet, Univerzitet u Beogradu
371. Katarina Vukadinović, redovni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
372. Vlastimir Đokić, redovni profesor u penziji, Mašinski fakultet, Univerzitet u Nišu
373. Petar Bunjak, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
374. Nenad Šekularac, vanredni profesor, Arhitektonski fakultet, Univerzitet u Beogradu
375. Danijela Popović, vanredni profesor, Filozofski fakultet, Univerzitet u Nišu
376. Željko Mandić, docent, Akademija umetnosti, Univerzitet u Novom Sadu
377. Vladimir Perišić, docent, Fakultet za medije i komunikacije, Univerzitet Singidunum
378. Lidija Srebotnjak Prišić, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
379. Aleksandra Lozanović, asistent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
380. Jovana Nikolić, asistent, Fakultet umetnosti, Univerzitet u Nišu
381. Ferid Karajica, redovni profesor, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
382. Gazela Pudar Draško, naučna saradnica, Institut za filozofiju i društvenu teoriju, Univerzitet u Beogradu
383. Boban Petrović, naučni saradnik, Institut za kriminološka i sociološka istraživanja, Beograd
384. Aleksandar N. Nešković, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
385. Jelena Radić-Perić, redovni profesor u penziji, Fakultet za fizičku hemiju, Univerzitet u Beogradu
386. Marijan Jelić, docent, Pedagoški fakultet u Somboru, Univerzitet u Novom Sadu
387. Darko Ivanović, redovni profesor u penziji, Farmaceutski fakultet, Univerzitet u Beogradu
388. Zorana Jelić-Ivanović, profesor emeritus, Farmaceutski fakultet, Univerzitet u Beogradu
389. Miodrag Stojković, redovni profesor, Fakultet medicinskih nauka, Univerzitet u Kragujevcu
390. Mirjana Medenica, redovni profesor u penziji, Farmaceutski fakultet, Univerzitet u Beogradu
391. Tanja Dinić, nastavnica jezika, Saobraćajni fakultet, Univerzitet u Beogradu
392. Stojan Bogdanović, redovni profesor u penziji, Ekonomski fakultet, Univerzitet u Nišu
393. Mrđan Bajić, redovni profesor, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
394. Bojana Bodroža, docent, Filozofski fakultet, Univerzitet u Novom Sadu
395. Marko Stamenić, viši naučni saradnik, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
396. Neda Mimica-Dukić, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
397. Vladimir Karanović, docent, Filološki fakultet, Univerzitet u Beogradu
398. Tatjana Verbić, vanredni profesor, Hemijski fakultet, Univerzitet u Beogradu
399. Boško Jovanović, redovni profesor u penziji, Matematički fakultet, Univerzitet u Beogradu
400. Đorđe Vidanović, redovni profesor u penziji, Centar za kognitivne nauke, Univerzitet u Nišu
401. Snežana Vidanović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
402. Nebojša Grujić, asistent, Visoka tehnološka škola strukovnih studija u Aranđelovcu
403. Alisa Gruden-Movsesijan, naučni savetnik, Institut za primenu nuklearne energije, Univerzitet u Beogradu
404. Slavko Mentus, redovni profesor, Fakultet za fizičku hemiju, Univerzitet u Beogradu
0.   Slavko Mentus, redovni član SANU
405. Dragana Vukov, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
406. Tamara Džamonja Ignjatović, redovna profesorka, Filozofski fakultet, Univerzitet u Beogradu
0.   Tamara Džamonja Ignjatović, redovna profesorka, Fakultet političkih nauka, Univerzitet u Beogradu
407. Rastko Vasilić, vanredni profesor, Fizički fakultet, Univerzitet u Beogradu
408. Ivan Šuletić, docent, Arhitektonski fakultet, Univerzitet u Beogradu
409. Ljiljana Damjanović-Vasilić, redovni profesor, Fakultet za fizičku hemiju, Univerzitet u Beogradu
410. Dragana Marić, naučni savetnik, Institut za fiziku u Beogradu, Univerzitet u Beogradu
411. Vera Backović, docentkinja, Filozofski fakultet, Univerzitet u Beogradu
412. Dejan Urošević, redovni profesor, Matematički fakultet, Univerzitet u Beogradu
413. Velimir R. Radmilović, redovni profesor, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
0.   Velimir R. Radmilović, dopisni član SANU
414. Tijana Cvetić Antić, vanredna profesorka, Biološki fakultet, Univerzitet u Beogradu
415. Jelena Ivanović-Šekularac, redovni profesor, Arhitektonski fakultet, Univerzitet u Beogradu
416. Milan Gavrilović, istraživač saradnik, Biološki fakultet, Univerzitet u Beogradu
417. Jelena Kotur-Stevuljević, redovni profesor, Farmaceutski fakultet, Univerzitet u Beogradu
418. Goran Despotovski, vanredni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
419. Svetozar Vukadinović, redovni profesor u penziji, Saobraćajni fakultet, Univerzitet u Beogradu
420. Nadežda Nedeljković, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
421. Milan Knežević, redovni profesor, Fizički fakultet, Univerzitet u Beogradu
422. Zoran Graovac, redovni profesor, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
423. Desanka Radunović, vanredni profesor u penziji, Matematički fakultet, Univerzitet u Beogradu
424. Tasko Grozdanov, naučni savetnik u penziji, Institut za fiziku, Univerzitet u Beogradu
425. Natalija Bogdanov, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
426. Dušanka Lazarević, redovni profesor u penziji, Fakultet sporta i fizičkog vaspitanja, Univerzitet u Beogradu
427. Svetlana Čizmić, redovni profesor u penziji, Filozofski fakultet, Univerzitet u Beogradu
428. Irena Špadijer, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
429. Vera Raičević, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
430. Sonja Petrović, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
431. Jelena Jovičić-Petrović, docent, Poljoprivredni fakultet, Univerzitet u Beogradu
432. Jelica Petrović-Vujačić, redovni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
433. Mirjana Beara, docentkinja, Departman za filozofske nauke, Državni univerzitet u Novom Pazaru
434. Svetlana Volic, docent, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
435. Tijana Vesić Pavlović, docent, Mašinski fakultet, Univerzitet u Beogradu
436. Rozalia Madarasz, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
437. Marijana Petrović, vanredni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
438. Dubravka Savić, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
439. Saša Jovanović, docent, Fakultet inženjerskih nauka, Univerzitet u Kragujevcu
440. Kostić Senka, asistent, Filozofski fakultet, Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
441. Marina Stamenković-Radak, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
442. Snežana Komatina, redovni profesor, Tehnički fakultet Mihajlo Pupin, Univerzitet u Novom Sadu
443. Jasmina Šinžar Sekulić, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
444. Zlatan Šoškić, redovni profesor, Fakultet za mašinstvo i građevinarstvo, Univerzitet u Kragujevcu
445. Ljiljana Kostić Kravljanac, naučni saradnik, Institut za multidisciplinarna istraživanja, Univerzitet u Beogradu
446. Maja Mihajlović, asistent, Pedagoški fakultet u Somboru, Univerzitet u Novom Sadu
447. Mario Zlatović, vanredni profesor, Hemijski fakultet, Univerzitet u Beogradu
448. Zdravko Joksimović, redovni profesor, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
449. Miodrag Tabački, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
450. Nevena Grdović, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
451. Snežana Popić, asistent, Filozofski fakultet, Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
452. Marina Milivojević Mađarev, docentkinja, Akademija umetnosti, Univerzitet u Novom Sadu
453. Vojislava Nešković, docent, Medicinski fakultet Vojnomedicinske akademije, Univerzitet odbrane Beograd
454. Zagorka Tamaš, redovni profesor u penziji, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
455. Sofija Pavković-Lučić, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
456. Tijana Štajner, naučni saradnik, Institut za medicinska istraživanja, Univerzitet u Beogradu
457. Dragan Nikšić, naučni saradnik, Institut za stočarstvo
458. Milena Petrović, redovni profesor, Pravni fakultet, Univerzitet u Kragujevcu
459. Vesna Radoman, redovni profesor u penziji, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
460. Zorica Stanisavljević Petrović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
461. Ana Đorđević, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
462. Vladimir Figar, asistent, Filozofski fakultet, Univerzitet u Nišu
463. Milica Šelmić, vanredni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
464. Bojana Zeković, asistent, Arhitektonski fakultet, Univerzitet u Beogradu
465. Gabriel Glid, vanredni profesor, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
466. Uroš Nedeljković, vanredni profesor, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
467. Marija Đorđić Crnogorac, naučni saradnik, Institut za onkologiju i radiologiju Srbije
468. Olivera Batajić Sretenović, docent, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
469. Miloš Erić, docent, fakultet FEFA, Univerzitet Metropolitan
470. Mihajlo Babin, vanredni profesor, Fakultet FEFA, Univerzitet Metropolitan
471. Sonja Lončar, vanredni profesor, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
472. Andrija Pavlović, docent, Nova akademija umetnosti
0.   Andrija Pavlović, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
473. Ljubinko Lević, redovni profesor u penziji, , Univerzitet u Novom Sadu
474. Goran Radosavljević, vanredni profesor, Fakultet FEFA, Univerzitet Metropolitan
475. Ivana Najdanović, predavač, Visoka tekstilna strukovna škola za dizajn, tehnologiju i menadžment
476. Miloš Nikolić, docent, Saobraćajni fakultet, Univerzitet u Beogradu
477. Katarina Stanić, docent, Fakultet FEFA, Univerzitet Metropolitan
478. Milan Nedeljković, vanredni profesor, Fakultet FEFA, Univerzitet Metropolitan
479. Đorđe Terzin, asistent, Fakultet za medije i komunikacije, Univerzitet Singidunum
480. Anđela Šoškić, asistent, Učiteljski fakultet, Univerzitet u Beogradu
481. Rade Bojanović, redovni profesor u penziji, Filozofski fakultet, Univerzitet u Beogradu
482. Biljana Dojčinović, redovna profesorka, Filološki fakultet, Univerzitet u Beogradu
483. Ana Popović, docent, Ekonomski fakultet, Univerzitet u Nišu
484. Dragan Gajić, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
485. Dragiša Savić, redovni profesor, Tehnološki fakultet, Univerzitet u Nišu
486. Sonja Krstić, vanredni profesor, Fakultet savremenih umetnosti, Univerzitet Privredna akademija Novi Sad
487. Miroslav Živić, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
488. Vida Jojić, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
489. Nataša Tasić, profesor strukovnih studija, Visoka škola strukovnih studija za vaspitače
490. Igor Jemcov, vanredni profesor, Rudarsko-geološki fakultet, Univerzitet u Beogradu
491. Radomir Ljupković, naučni saradnik, Prirodno-matematički fakultet, Univerzitet u Nišu
492. Miodrag Milutinov, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
493. Dragana Ilić, vanredna profesorka, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
494. Vladan Perišić, redovni profesor, Pravoslavni bogoslovski fakultet, Univerzitet u Beogradu
495. Radivoje Jovović, docent, Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
496. Dušica Janošević, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
497. Sanja J. Ignjatović, asistent, Filozofski fakultet, Univerzitet u Nišu
498. Ivan Stijepović, naučni saradnik, Tehnološki fakultet, Univerzitet u Novom Sadu
499. Goran Poznanović, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
500. Vesna Vučinić, vanredni profesor, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
501. Ljiljana Todorović, docent, Nova akademija umetnosti
502. Vesna Cvejić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
503. Radomir M. Radovanovic, redovni profesor u penziji, Poljoprivredni fakultet, Univerzitet u Beogradu
504. Slavica Radosavljević, predavač, Visoka škola strukovnih studija za informacione i komunikacione tehnologije, Beograd
505. Bojana Kovačević Petrović, docent, Filozofski fakultet, Univerzitet u Novom Sadu
506. Dijana Krstić Milošević, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
507. Nikola Tošić, docent, Građevinski fakultet, Univerzitet u Beogradu
508. Daliborka Purić, vanredni profesor, Pedagoški fakultet, Univerzitet u Kragujevcu
509. Tatjana Karavelić, saradnik u nastavi, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
510. Milica Tošić Radev, docent, Filozofski fakultet, Univerzitet u Nišu
511. Vesna Besarović, redovni profesor u penziji, Pravni fakultet, Univerzitet u Beogradu
512. Ana Krivokuća, naučni saradnik, Institut za onkologiju i radiologiju Beograd
513. Nevena Debljović Ristić, naučni saradnik, Republički zavod za zaštitu spomenika kulture Beograd
514. Dejana Kravarušić Bajić, viši umetnički saradnik, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
515. Aleksandar Ćoćić, vanredni profesor, Mašinski fakultet, Univerzitet u Beogradu
516. Goran Radojev, docent, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
517. Duško Prelević, vanredni profesor, Filozofski fakultet, Univerzitet u Beogradu
518. Katarina Hadži-Antić Tatić, viši umetnički saradnik, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
519. Dragutin J. Savić, redovni profesor u penziji, Biološki fakultet, Univerzitet u Beogradu
520. Srđan Verbić, docent, Fakultet FEFA, Univerzitet Metropolitan, Beograd
521. Ivana Manić, viša predavačica, Visoka škola strukovnih studija za obrazovanje vaspitača, Kruševac
522. Dragan Todorović, vanredni profesor, Filozofski fakultet, Univerzitet u Nišu
523. Oskar Riter, samostalni stručni saradnik, Akademija umetnosti, Univerzitet u Novom Sadu
524. Tatjana Lazović, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
525. Natalija Panić Cerovski, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
526. Slavica Dragosavac, vanredni profesor, Fakultet umetnosti u Nišu, Univerzitet u Nišu
527. Vladimir Tošić, redovni profesor u penziji, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
528. Branimir Radosavljević, vanredni profesor, Medicinski fakultet, Univerzitet u Beogradu
529. Svetlana Ignjatović, redovni profesor, Farmaceutski fakultet, Univerzitet u Beogradu
530. Ivica Bošnjak, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
531. Jasmina Đorđević, docent, Filozofski fakultet, Univerzitet u Nišu
532. Gradimir Vasić, redovni profesor u penziji, Poljoprivredni fakultet, Univerzitet u Beogradu
533. Ivanka Milošević, redovni profesor, Fizički fakultet, Univerzitet u Beogradu
534. Milica Micić, umetnički saradnik, Fakultet umetnosti, Univerzitet u Nišu
535. Radomir Ranković, docent, Fakultet za fizičku hemiju, Univerzitet u Beogradu
536. Zorana Kozomarić, nastavnik stranog jezika, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
537. Vladeta Milin, docent, Filozofski fakultet, Univerzitet u Beogradu
538. Snežana Konjkušić, vanredna profesorka, Fakultet FEFA, Univerzitet Metropolitan
539. Tamara Jemcov, asistent, Medicinski fakultet, Univerzitet u Beogradu
540. Radovan Zobenica, vanredni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
541. Ivana Dragićević, vanredna profesorka, Biološki fakultet, Univerzitet u Beogradu
542. Leposava Kron, naučni savetnik, Institut za kriminološka i sociološka istraživanja, Beograd
543. Eva Vaništa Lazarević, redovna profesorka, Arhitektonski fakultet, Univerzitet u Beogradu
544. Sofija Pekic Quarrie, redovni profesor u penziji, Poljoprivredni fakultet, Univerzitet u Beogradu
545. Luka Lučić, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
546. Milka Ćulić, naučni savetnik u penziji, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
547. Aleksandra Korda-Petrović, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
548. Trajko Petrović, redovni profesor u penziji, Elektrotehnički fakultet, Univerzitet u Beogradu
549. Slobodan Miladinović, redovni profesor, Fakultet organizacionih nauka, Univerzitet u Beogradu
550. Marija Mostarica-Stojković, profesorka emerita, Medicinski fakultet, Univerzitet u Beogradu
551. Oliver Stojković, vanredni profesor, Medicinski fakultet, Univerzitet u Beogradu
552. Bojan Ristić, docent, Ekonomski fakultet, Univerzitet u Beogradu
553. Predrag Brebanović, vanredni profesor, Filološki fakultet, Univerzitet u Beogradu
554. Ilija Batas Bjelić, naučni saradnik, Institut tehničkih nauka, SANU
555. Jelena Vasiljević, naučna saradnica, Institut za filozofiju i društvenu teoriju, Univerzitet u Beogradu
556. Melita Vidaković, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
557. Miloš Milčić, vanredni profesor, Hemijski fakultet, Univerzitet u Beogradu
558. Milena Stojanović Stošić, docent, Pedagoški fakultet u Vranju, Univerzitet u Nišu
559. Ana Todorovski, stručna saradnica, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
560. Marko Vilotić, docent, Pravoslavni bogoslovski fakultet, Univerzitet u Beogradu
561. Andreja Rajković, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
562. Vladimir Jović, vanredni profesor, , Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
563. Dubravka Jovičić, redovni profesor, Fakultet muzičke umetnosti Univerziteta umetnosti u Beogradu
564. Mirko Rosić, redovni profesor, Fakultet medicinskih nauka, Univerzitet u Kragujevcu
565. Jelena Nedeljković Trailović, redovni profesor, Fakultet veterinarske medicine, Univerzitet u Beogradu
566. Tamara Klikovac, docent, Filozofski fakultet, Univerzitet u Beogradu
567. Miroslav Marković, profesor strukovnih studija, Visoka tehnološka škola strukovnih studija u Aranđelovcu
568. Marijana Vučinić, redovni profesor, Fakultet veterinarske medicine, Univerzitet u Beogradu
569. Dušan Radisavljević, asistent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
570. Zora Dajić Stevanović, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
571. Aleksandar Dragić, viši naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
572. Jasmina Petrović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
573. Maja Burić, redovni profesor, Fizički fakultet, Univerzitet u Beogradu
574. Ivana Tomanović, vanredni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
575. Slađana Tanasković, vanredni profesor, Farmaceutski fakultet, Univerzitet u Beogradu
576. Živko Surčulija, redovni profesor u penziji, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
577. Dušanka Đurđev, redovni profesor u penziji, Pravni fakultet, Univerzitet u Novom Sadu
578. Jelena Starčević, docent, Fakultet pedagoških nauka, Univerzitet u Kragujevcu
580. Dragan Pavlović, vanredni profesor, Fakultet za medije i komunikacije, Univerzitet Singidunum
581. Dragana Stevanović, docent, Akademija umetnosti, Univerzitet u Novom Sadu
581. Radivoj Protić, stručni saradnik, Matematički fakultet, Univerzitet u Beogradu
582. Milica Milutinović, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
583. Suzana Pavlović, profesor, Visoka zdravstveno-sanitarna škola strukovnih studija
584. Isidora Žebeljan, redovni profesor, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
0.   Isidora Žebeljan, redovni član SANU
585. Borislav Čičovački, redovni profesor, Filološko-umetnički fakultet, Univerzitet u Kragujevcu
586. Jelena Trpković, redovni profesor u penziji, Akademija umetnosti, Univerzitet u Novom Sadu
587. Dragan Pantić, redovni profesor, Elektronski fakultet, Univerzitet u Nišu
588. Gordana Matković, redovni profesor, Fakultet FEFA, Univerzitet Metropolitan
589. Zoran Todović, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
590. Olivera Klisurić, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
591. Željko Škrbić, redovni profesor u penziji, Akademija umetnosti, Univerzitet u Novom Sadu
592. Boris Stojić, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
593. Nikola Škoro, viši naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
594. Dragoslav Todorović, honorarni profesor, Fakultet primenjenih umetnosti, Univerzitet umetnosti u Beogradu
595. Miodrag Đorđević, docent, Prirodno-matematički fakultet, Univerzitet u Nišu
596. Milivoj Dopsaj, redovni profesor, Fakultet sporta i fizičkog vaspitanja, Univerzitet u Beogradu
597. Jovan Lole Vasiljević, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
598. Sanja Filipović, vanredni profesor, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
599. Olja Jovanović Milanović, docentkinja, Filozofski fakultet, Univerzitet u Beogradu
600. Tatjana Starodubcev, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
601. Milan Đorđević, docent, Prirodno-matematički fakultet, Univerzitet u Nišu
602. Jovan Popović, redovni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
603. Savo Manojlović, istraživač saradnik, Institut za uporedno pravo
604. Marija Maruna, vanredni profesor, Arhitektonski fakultet, Univerzitet u Beogradu
605. Zvonko Pavličić, redovni profesor Fakulteta tehničkih nauka, Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
606. Jelena Rebić, saradnik u nastavi, Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
607. Đorđe Odanović, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
608. Jelena Aleksić, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
609. Tamara Đorđević, asistent, Visoka škola strukovnih studija za obrazovanje vaspitača, Kruševac
